id,intent_action,intent_object,intent_qualifier,qualifier_theme,call_summary,sentiment,resolution
695534,Inquiry,General,"Initial or Unclear Contact","Initial or Unclear Contact","The customer initiated a call. No specific details about the call's purpose or outcome could be determined from the empty transcript.",Neutral,No
695535,Return,Device,"Pickup Agent No-Show","Return Process","The customer called to report issues with returning an iPhone 14 Plus. The pickup agent has repeatedly failed to show up for several days, despite confirmed appointments. The agent created an escalation complaint to the management to arrange a new shipping company for the pickup.",Frustrated,No
695536,Return,Device,"Non-original Screen, Rejected Return Requests","Product Complaint","The customer called to complain about an iPhone 13 Pro Max, stating its screen is not original despite the product description. Their attempts to return the device via the app have been rejected three times. The agent explained the company's policy regarding non-original parts for ""good condition"" devices and tried to assist with the return process, but the issue remained unresolved by the end of the call.",Frustrated,No
695544,Complaint,Computers,"Defective Camera and Unsatisfactory Item","Product Complaint","The customer called regarding two recently purchased computers; one has a defective camera, and the other is unsatisfactory. The agent provided detailed instructions on how to raise a claim online for either repair or return, including timelines and options for refund or store credit. The customer understood the process and will proceed online.",Frustrated,Yes
695546,"Track Order",Order,"Tracking Status Confusion","Shipping Provider Issue","The customer called to inquire about an iPhone 14 Pro order that had not been delivered since April 6th. They were confused by a QuickUp tracking status indicating ""Order Cancelled"" while the Revibe app showed ""At Quality Check."" The agent clarified the QuickUp status was a shipping carrier issue, expedited the order, and advised the customer to check the Revibe app on Monday for an updated delivery status.",Frustrated,No
695547,Inquiry,Order,"Delivered But Not Received","Wrong or Missing Item","The customer called to inquire about an order that shows as delivered on the tracker but was not actually received. The agent requested the order number to investigate further.",Inquisitive,No
695548,Refund,iPhone,"Canceled Claim, Unable to Re-file","Refund Processing","The customer called to inquire about a canceled claim for an iPhone 12 Pro and requested a refund. The agent explained the claim was canceled due to a courier system update failure and advised the customer to raise a new claim, but the customer was unable to do so without a smartphone. The agent promised to consult with the claims team and call the customer back within an hour.",Angry,No
695552,Cancellation,Order,"Order Condition Change","Order Modification","The customer called to change their iPhone 14 Plus order from 'good condition' to 'excellent condition'. The agent guided the customer through the process of cancelling the original order via the app and explained the refund options. The customer successfully cancelled the order during the call and understood the next steps for reordering.",Satisfied,Yes
695553,"Track Order",Order,"Delivery Delay","Delivery Delays","The customer called about a significantly delayed iPhone 12 order, which was placed on April 3rd and had not been delivered by the seventh day. The customer reported that the shipping company claimed Revibe was refusing to hand over the item. The agent escalated the issue to management, who confirmed they would take action to resolve the delay.",Frustrated,No
695554,Inquiry,General,"Initial Contact","Initial or Unclear Contact","The agent greeted the customer and offered assistance. The customer's reason for calling has not yet been stated.",Neutral,No
